Index,O,N,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,target,Dopants
94.0,11.2,4.2,697.0,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,62.4,0
95.0,11.2,4.2,697.0,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,56.0,0
96.0,11.2,4.2,697.0,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,51.3,0
97.0,11.2,4.2,697.0,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,45.7,0
98.0,11.2,4.2,697.0,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,10.0,42.3,0
99.0,11.2,4.2,697.0,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,38.9,0
100.0,11.2,4.2,697.0,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,50.0,33.3,0
101.0,11.2,4.2,697.0,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,100.0,28.7,0
102.0,11.2,4.2,697.0,0.83,0.277,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,200.0,27.2,0
103.0,12.04,8.29,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.1,204.7,0
104.0,12.04,8.29,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.2,181.5,0
105.0,12.04,8.29,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.5,165.9,0
106.0,12.04,8.29,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,1.0,152.7,0
107.0,12.04,8.29,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,2.0,141.1,0
108.0,12.04,8.29,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,5.0,134.2,0
109.0,12.04,8.29,1530.9,0.96,0.627,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,10.0,128.6,0
