Index,O,N,B,S,P,Specific surface area,Pore volume,Rmic/mes,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,target
118.0,20.61,3.95,0.0,0.0,0.0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,0.2,110.2
119.0,20.61,3.95,0.0,0.0,0.0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,0.4,93.0
120.0,20.61,3.95,0.0,0.0,0.0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,0.5,86.7
121.0,20.61,3.95,0.0,0.0,0.0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,1.0,72.9
122.0,20.61,3.95,0.0,0.0,0.0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,2.0,57.0
123.0,20.61,3.95,0.0,0.0,0.0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,3.0,48.0
124.0,20.61,3.95,0.0,0.0,0.0,544.83,0.26,4.783,0.96,2M ZnSO4,Titanium foil,2.0,1.8,4.0,41.5
125.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.1,156.54
126.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.2,132.3
127.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.3,111.55
128.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.4,105.4
129.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,0.5,98.5
130.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,1.0,86.8
131.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,2.0,70.5
132.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,3.0,59.2
133.0,18.15,3.51,0.0,0.0,0.0,648.22,0.32,4.516,1.01,2M ZnSO4,Titanium foil,2.0,1.8,4.0,51.8
142.0,11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,0.2,153.0
143.0,11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,0.5,125.0
144.0,11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.488,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,1.0,110.0
